Barcelona	"writes, reads, queries and deletes objects with a 5 level inheritance structure"
												
"EyeDB, C++, normal"							"EyeDB Java / EyeDB, C++, normal"
objects	write	read	query	delete	total		objects	write	read	query	delete	total
1000	154	154	5152	247	5707		1000	1,23	1,05	2,03	1,36	1,95
3000	497	270	14434	734	15935		3000	1,24	1,1	1,86	1,16	1,79
10000	1608	880	44135	2498	49121		10000	1,27	0,84	2,06	1,03	1,96
30000	5081	2782	132540	8822	149225		30000	1,15	0,81	2,02	0,99	1,91
												
"EyeDB, C++, local"							"EyeDB Java / EyeDB, C++, local"
objects	write	read	query	delete	total		objects	write	read	query	delete	total
1000	102	107	4925	187	5321		1000	1,85	1,51	2,12	1,8	2,09
3000	320	121	12709	460	13610		3000	1,93	2,46	2,11	1,84	2,1
10000	974	406	41186	1929	44495		10000	2,1	1,81	2,21	1,34	2,17
30000	3412	1342	132636	6691	144081		30000	1,71	1,68	2,02	1,3	1,97
												
"EyeDB, Java"												
objects	write	read	query	delete	total							
1000	189	162	10446	337	11134							
3000	618	298	26779	848	28543							
10000	2042	736	91078	2578	96434							
30000	5848	2258	267720	8728	284554							
												
"db4o"									"EyeDB Java / db4o"
objects	write	read	query	delete	total		objects	write	read	query	delete	total
1000	53	10	12	31	106		1000	3,57	16,2	870,5	10,87	105,04
3000	107	18	11	84	220		3000	5,78	16,56	2434,45	10,1	129,74
10000	375	51	15	305	746		10000	5,45	14,43	6071,87	8,45	129,27
30000	768	141	12	981	1902		30000	7,61	16,01	22310	8,9	149,61
												
"Hibernate, MySQL"							"EyeDB Java / Hibernate, MySQL"
objects	write	read	query	delete	total		objects	write	read	query	delete	total
1000	554	421	99	784	1858		1000	0,34	0,38	105,52	0,43	5,99
3000	1715	1469	78	2039	5301		3000	0,36	0,2	343,32	0,42	5,38
10000	5426	4209	56	7126	16817		10000	0,38	0,17	1626,39	0,36	5,73
30000	16401	15069	79	31586	63135		30000	0,36	0,15	3388,86	0,28	4,51
