Barcelona                                                                                                                                                            
writes, reads, querie                                                                                                                                                
                                                                                                                                                                     
EyeDB C++ implementat                                                                                   EyeDB Java / EyeDB C+                                        
      objects/selects      write (ms)       read (ms)      query (ms)    destroy (ms)      total (ms)         objects/selects     write      read     query    delete     total
             1000/100             163             121              26             314             624                1000/100      1,64      1,31      4,81      1,46      1,62
             3000/100             504             122              24             849            1499                3000/100      1,59      2,46       5,5      1,52      1,68
            10000/100            1624             408              32            3137            5201               10000/100      1,71      1,96      3,97      1,41      1,56
            30000/100            5569            1339              59           11147           18114               30000/100      1,59      1,52      2,32      1,23      1,37
                                                                                                                                                                     
EyeDB C++ implementat                                                                                   EyeDB Java / EyeDB C+                                        
      objects/selects      write (ms)       read (ms)      query (ms)    destroy (ms)      total (ms)         objects/selects     write      read     query    delete     total
             1000/100             216             167              40             347             770                1000/100      1,24      0,95      3,13      1,32      1,31
             3000/100             656             291              37            1220            2204                3000/100      1,22      1,03      3,57      1,06      1,14
            10000/100            2364             889              43            3963            7259               10000/100      1,18       0,9      2,95      1,11      1,12
            30000/100            7156            2791              67           14872           24886               30000/100      1,24      0,73      2,04      0,92      0,99
                                                                                                                                                                     
EyeDB, Java                                                                                                                                                          
      objects/selects      write (ms)       read (ms)      query (ms)    destroy (ms)      total (ms)                                                                
             1000/100             267             159             125             457            1008                                                                
             3000/100             800             300             132            1290            2522                                                                
            10000/100            2778             801             127            4409            8115                                                                
            30000/100            8859            2034             137           13724           24754                                                                
                                                                                                                                                                     
db4o                                                                                                    EyeDB Java / db4o                                            
      objects/selects      write (ms)       read (ms)      query (ms)    destroy (ms)      total (ms)         objects/selects     write      read     query    delete     total
             1000/100              53              10              12              31             106                1000/100      5,04      15,9     10,42     14,74      9,51
             3000/100             107              18              11              84             220                3000/100      7,48     16,67        12     15,36     11,46
            10000/100             375              51              15             305             746               10000/100      7,41     15,71      8,47     14,46     10,88
            30000/100             768             141              12             981            1902               30000/100     11,54     14,43     11,42     13,99     13,01
                                                                                                                                                                     
Hibernate, MySQL                                                                                        EyeDB Java / Hibernat                                        
      objects/selects      write (ms)       read (ms)      query (ms)    destroy (ms)      total (ms)         objects/selects     write      read     query    delete     total
             1000/100             554             421              99             784            1858                1000/100      0,48      0,38      1,26      0,58      0,54
             3000/100            1715            1469              78            2039            5301                3000/100      0,47       0,2      1,69      0,63      0,48
            10000/100            5426            4209              56            7126           16817               10000/100      0,51      0,19      2,27      0,62      0,48
            30000/100           16401           15069              79           31586           63135               30000/100      0,54      0,13      1,73      0,43      0,39
