getattrloca eyedbgetattrloca
getcollloca eyedbgetcollloca
getdefattrdsp eyedbgetdefattrdsp
getdefcolldsp eyedbgetdefcolldsp
getdefdsp eyedbgetdefdsp
getdefidxdsp eyedbgetdefidxdsp
getdefinstdsp eyedbgetdefinstdsp
getidxloca eyedbgetidxloca
getinstloca eyedbgetinstloca
getobjloca eyedbgetobjloca
setdefattrdsp eyedbsetdefattrdsp
setdefcolldsp eyedbsetdefcolldsp
setdefdsp eyedbsetdefdsp
setdefidxdsp eyedbsetdefidxdsp
setdefinstdsp eyedbsetdefinstdsp
mvattr eyedbmvattr
mvcoll eyedbmvcoll
mvidx eyedbmvidx
mvinst eyedbmvinst
mvobj eyedbmvobj
