dbmcreate eyedbdbmcreate
dbcreate eyedbdbcreate
dbdelete eyedbdbdelete
dbrename eyedbdbrename
dbmove eyedbdbmove
dbcopy eyedbdbcopy
dbexport eyedbdbexport
dbimport eyedbdbimport
datcreate eyedbdatcreate
datdelete eyedbdatdelete
datmove eyedbdatmove
datresize eyedbdatresize
datdefragment eyedbdatdefragment
datlist eyedbdatlist
datrename eyedbdatrename
dspcreate eyedbdspcreate
dspupdate eyedbdspupdate
dspdelete eyedbdspdelete
dsprename eyedbdsprename
dsplist eyedbdsplist
dspsetdefault eyedbdspsetdefault
dspgetdefault eyedbdspgetdefault
dspsetcurdat eyedbdspsetcurdat
dspgetcurdat eyedbdspgetcurdat
useradd eyedbuseradd
userdelete eyedbuserdelete
userpasswd eyedbuserpasswd
passwd eyedbpasswd
dbaccess eyedbdbaccess
userdbaccess eyedbuserdbaccess
sysaccess eyedbsysaccess
userlist eyedbuserlist
dblist eyedbdblist
